Link,Name,Primary_Detail,Contract,Skills
https://www.linkedin.com/jobs/view/3753059857/?eBP=CwEAAAGPrKyeR9M6X1lnwffQ_11qGLCYlzcEWK0ttDp_KX2KxLxv9LTmNDcD8IVVOY1Q08ZLs1xwIhIVeej_7BCYdXYc3A04ZDzAOxN9S2Z6GA9_5GiozG-7k6IQ462vtTka8yk-0aUWxTigmu_pShnJrEyDJ06ECSf0mx5M6yCugswJ2m47NaaEMeR7eggHHg4Nt1unJJP30oRThudnQ2iuNaTk50RVfU4rhMtPavTG5geVKfX7hqZUtphMli4uUviZCcTSlubx-pEFRUW-aDv-Mbjv0R7O1SO37voGpCKrwHXnqlOdmcF1btosKabuGWJz112JFmyrUBch0WdoyhtVb7hmqaDUefhCXZ0hTelXJbWsaN5P3lxNr-cfGm6sRPWgQm1e433r3hAVt5GLNJKqDU-lr30LvTfrcmgCkzzLetI8Tz2RP50aW5kAZZtCxYwGkw6QB9HkMZmFTaFlCKl9&refId=zPKsCALifBiCt6iERM%2BC4Q%3D%3D&trackingId=iY9yp4krORbboyrLGYSs7A%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                Senior User Interface Designer, India
              



 




    Set alert",,,"Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Figma (Software), Fine Art, Information Architecture, Interaction Design, User Experience (UX), User Interface Design, User-centered Design ,"
https://www.linkedin.com/jobs/view/3933390585/?eBP=CwEAAAGPrKyeRwYETQuoIAU8lSAor2K84KGMIsNABJt-rDGPg9hFE5EDN8gPS51NenJr0oKpQDgRmBnW7-rp9qfQ7hXlJXJWcl97i4drO9is7k8ec4CekBRwcbYr3sZIngCSclW5ESxSNf1t4EU3VvjxqIy-ux44J1Jfq1JSjQJmadtBvEPd6at7_51QzE-lERQdJ2FDiMpM9FJkgccxGTtnWVy44JItwzw0HcxWhkPZCUW8-XdnME3JgtFHBvyxeBoRS6sZU7N8lCPKWB3oQEa220se5R3gwYhK0dyafMfRN56BaPt9BfQtL-e2DvBl8rdW1tebPxQqOey272mjred6p5Y_17eoS2AI9bMHc3vHSre874l-2IJ0JLjUeIeOUvPHo7GW_EXSatgkfWV_lsFGA9WpoXccl7z-QKSEzd4&refId=zPKsCALifBiCt6iERM%2BC4Q%3D%3D&trackingId=zRlEYjAgsP4qwwC2TuNsKA%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                Interface Specialist, Gurugram, Haryana, India
              



 




    Set alert",,,"Business Requirements, Design Standards, Graphic Design, Graphics, Mockups, Presentations, Stakeholder Management, User Experience (UX), User Experience Design (UED), User Interface Design ,"
https://www.linkedin.com/jobs/view/3627619750/?eBP=CwEAAAGPrKyeR_rqbsCTvSzbo7cHvDiDvtJ6lvUhRshaaOJYQOQHCdPhRT_Mp1gc3SRoKHx4xR9B8pEaBnUz2AIdPAb_tLRd61EIVQOwT3Ye5Hfh2F_D07F-FEWqkXV9FjWv5wIaBhsYlDq6RXAhEulwYdm_nVkDTWrLxF7w7uYDi6rckLOF3AXZr82llkMvQUGX_zW_hWEGi9XTX1He4Ma12HcIGHji8V9YiswLbZCvKKuBgtg5uKzEmTIkcbTS0S9N2ra9755pzI6Wa-Xsq5S78kt0kuALSSviKT8FMehKZDKd4-rOYi9u9IG4LGIJ6xoCcTs3S_WMMSTQoLu8rzd2kby0P4CG5ILhOu9z7Vfi1Y7CgESn5qf8jVM&refId=zPKsCALifBiCt6iERM%2BC4Q%3D%3D&trackingId=2QDVJJfnTHN7Dri%2F65eiow%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                Interface Specialist, Delhi, India
              



 




    Set alert",,,"Communication, Fonts, Mockups, Site Maps, Storyboarding, User Experience (UX), User Interface Design, User Requirements, Wireframing, Written Communication ,"
https://www.linkedin.com/jobs/view/3672222553/?eBP=CwEAAAGPrKyeR4Ju_maPYLd2hNof7q3CoVviTnFmvMn8tuEXwoALk4saMlEL24e0wFFLEgNwy-VadMuQCanzeMk_z11U9QpXeaxv6jPAoDh0dfYGdRQq38MM6RH8ulAqeF-bngDn2eZNcGJYIZsboUVEPKuY-d9oSWvoeUQuK4O7mroFMq_BTQO2Am_YL8BKZV_6NXD60ahptMp4cZ7u1F_QtWLrnyGX2nnOHriyLyPjVWh7KvAJ5T5LB2DEeNd1SXLBx6VovNviM_65xxpe8vh3LvJsNcf6xwpd3C4nEftxxk0ORJsq6oya7_4eRpfAMMCDCldX15-5wW86Q0lmmE9jIQzWA1cLBU3ESoZSKXkfCtPze6I1Pan9kJGTnbr8_fZ02Vxb9O-5eIwJqeI26Jo_demooDysKoyO1W3Ekso7c0ztZ-zTLTRz30gBtgoHxU1n4G11tX-5oNNh1WijZ1Du&refId=zPKsCALifBiCt6iERM%2BC4Q%3D%3D&trackingId=BLmR6kNOrLaK37RulVGiOw%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                Lead Designer, Delhi, India
              



 




    Set alert",,,"Critical Thinking, Design Briefs, Graphic Design, Graphics, Mobile Application Design, Typography, User Experience (UX), User Interface Design, Visual Design, Wireframing ,"
https://www.linkedin.com/jobs/view/3755260571/?eBP=CwEAAAGPrKyeR_TiRcidvG24ya_2UXnIJ5aYbKpQA9s1MxLHRp-p2Ke6A4IoGZMuowtlky9meqxnYom4n2J39ro85IqGQEoeK1lCJarxGJquWyLjb81U3N-H5h0RWq_d7NeV5-WVBMYZVwCsUskVzvajJuAd-kPfVJuMZn3S3WAQ0jNN1kUvp_aMvYPMtxR0BSMGBYyiEMoUG_jOxyVovyZAuO-P1SPz84gh-rGG6HY6JJjEGMTRVgraZ86fI_wUUOwL-Jze5lzaU-MiMIgVTxeTasPoB_VKVfAmON3y4-ws3gkWQfjGbc3DIMFPC8FwTFipWuRy9MABIRYqMIznV0dkNC9Q06Jdq6f49N-ZWVgtCWf4YBxQ65i_SnU&refId=zPKsCALifBiCt6iERM%2BC4Q%3D%3D&trackingId=HHw5dGSBzgS2UUc6JrVWew%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                User Interface Designer, Faridabad, Haryana, India
              



 




    Set alert",,,"Copywriting, Design Thinking, Figma (Software), Sketch App, Strategic Thinking, User Experience (UX), User Interface Design, User Research, User-centered Design, Visual Design ,"
https://www.linkedin.com/jobs/view/3627616206/?eBP=CwEAAAGPrKy59e8xvbb3p2q2qPF7wifvLj5nuBiKKGYHXkw1gADpz970adlVC1PoLAiLLEonZPE-4QBRuPZ3QC8X7WfduArjmmtczwUCxUVBwURzhfGF4lyJfKgWnPt8YEUjs1grXhByxP93_Qtmd5ALpYmiBjuIX5iQzQh-pRfL-Z-R5ysu5_w4F_QNnstPDykvvwkBF9D4-hhOc6nsYqI3i7x5fDXhk2hqiPKxm4R5hu8cqQorKjdRQxfaqibM1iFpA0sh_NLArTk08a3vlI9FjscSFQgNp99XDYP--KgUWemZ3IjGYwY2OQLkq4L8nQFyelBqw9trZqaeqenKsrWe6p9DoihQqy4fDgR_UKL8y5Mylw9VEHGoRO4crzb-EAKk75b8yNiwgP49lL0Kt-Kz_v4vPDI8Y1V2ciI7TPBdQBeJ384JrTlInKzeZPbDO1_bR-Lddg9Aqg5jYdo&refId=mWWhcvQll%2B9%2BynTNfqDTXg%3D%3D&trackingId=NuUNi5mLaVFZkzfG%2FQZ7yw%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                Product Designer, Gurugram, Haryana, India
              



 




    Set alert",,,"Information Architecture, Interaction Design, Motion Design, Motion Graphics, Product Design, UX Research, Usability, User Experience (UX), User Experience Writing, User Interface Design ,"
https://www.linkedin.com/jobs/view/3627624211/?eBP=CwEAAAGPrKy59W_mQvC-LXnmsh4zBPeIJzB_Eaas5HO4DZLZ-HwQGLy_bY4-QldBQok9H8WF4yGZkenQGsRt1S5rUVkUBfcPpGftXU1deOujyjKheOyWG7pnqB3CBLwkaohmgXhHL2CGf17y01_QqdQXGblIWzvlX7LiPvFcfVwUF1KfBBglZ0u7ZKyz2qP9ESRCYEfz_ptSK8XOER6vRbOyOQ_6o98iMhyL5Hr2mFgobQn_9RN7K8aJ_UQ3fWL-UGxs7yGtphBnjwrOq28u9FnXX6xIEpQSKzWDNKLHdbNpaFHL3hWMTmsd8tpHHNvg-eptgidIhpE-RNikrvzlyZJ5BNeBG6i5l74JvXOeRfjfOvuz653lfCNjDoA03jqNb2GMk_xAVBWby0vaHkHJp05TUbD7QN7M6G2Bf60TjH-btZJniX6VE_PlN-VXBxcE56N6zJ5zd2wdpzdfFAZYAQ&refId=mWWhcvQll%2B9%2BynTNfqDTXg%3D%3D&trackingId=vH0Rr0S7Nx8N4dywlRQNIw%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                Product Designer, Delhi, India
              



 




    Set alert",,,"Figma (Software), Information Architecture, Sketch App, UX Research, Usability, User Experience (UX), User Experience Design (UED), User Flows, Visual Design, Wireframing ,"
https://www.linkedin.com/jobs/view/3924963771/?eBP=CwEAAAGPrKy59aZP1z0kDGyooKkKZplzV0TDFGVEp7JSOb0i3UKf_c2crutlmqGJRGxV3-w2PLci2Wovj96Qghz6c90f6KzcM5ketTFPf7akTZcXeHa2xoLkplXYuZNSb6defM7W-nDMg6NOqRhk0UnTvN4hQgVXRvrCCsmarQY3uPrWvcl5C8VDm4YeQ--6TAVgs4WnBzAjutPBQT1-PgDanp7weq6Jt4WsGuDKRgJQVF7-AryUfqjOxesFciNllxZ0AeBkhHy2nhtWxg-2rXKjOP7DBoBxClbeg3egw44G3QVF4b6t26dgOwjV2CankFqPn1krxS3TWWXZ0lTs_NF5qJni4h8FpT1nDNsQFTkcDtYeqYhLn5yMo3s&refId=mWWhcvQll%2B9%2BynTNfqDTXg%3D%3D&trackingId=CuDYX6ne4EKcjXS%2FGDztZA%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                User Experience Designer, Gurgaon, Haryana, India
              



 




    Set alert",,,"Design Systems, Human Computer Interaction, Interaction Design, Presentations, Prototyping, Technical Architecture, Usability, User Experience (UX), User Experience Design (UED), User Interface Design ,"
https://www.linkedin.com/jobs/view/3786894293/?eBP=CwEAAAGPrKy59VH4gQ4RcRe13m6YZ87-Jv6BRmdwJtcM6KzzPQOFvW6zDSs68p5ehXb6xizLYHKd2-r9K2FxK6H393ztdJUq4HZHHs4GFTSMYi61JlZDa5_WdIcK09qmZD2rzXJ2IFAyv-wMw5Ybk98EuXZ5mhvYjYGcj-lGhQZOGL0vfH_WMrsK3PN_-w6ge1kr4rmA64h2NpJKK1HgmUtEuEYG-T7wnuveGVTFeO1I0fqfkMVfG7SAxN8ZtDy0DEru1PZL-8tMKHQAZZd992yJ3oqG06aUeMeUKNhK00zqk5705oKdrrBA48vT6YIojl0cQYtxAK3YyWEIHitrtgKEl-TqzdZdotLAxV6e2oq4mD3-V6coZKsztRg&refId=mWWhcvQll%2B9%2BynTNfqDTXg%3D%3D&trackingId=WF8gZPiLz7bsWOdLI5RmyQ%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                Product Manager, India
              



 




    Set alert",,,"Data Analytics, Flow Visualization, Google Analytics, Jira, Market Research, Product Life Cycle, Product Lifecycle Management, Product Management, Skilled Multi-tasker, Wireframing ,"
https://www.linkedin.com/jobs/view/3917304417/?eBP=CwEAAAGPrKy59WRzKpIJ3Gi_X9-kgK8pK7BykXB94mzvBovuJzC-g-81Mzn9pQXx41ncdQMqRAb8S1ntG09fWXahs4yHGJgVDlwFU9k8dJh8mXXgFZKUnMulIG9T1QMlfGhh2-Obwvk8TOI3ZpNjPK5Sz9XLEpozAGjXj3eT9QombpS0_wxDKvItu2-ikOSCS08Ze3fCswNJK1Ekoyod6IhfUHp0Yaw4bHZWUswWhpSbsYE9dRLKmKkMBNrEH3npViK_EgzkIqd3PW5sN6hhugrSPG-H6Xuso4Nk9PU-ZUvBL4kHIglG6XniqEvlcrPXMI29fsSERwdnfs5oLzCeksLlE-NBjQI8yE0wgZh9JMzOfW7I6Mp59b4wjPU&refId=mWWhcvQll%2B9%2BynTNfqDTXg%3D%3D&trackingId=MgT4fmsHDOcJvWhn5DcWiw%3D%3D&trk=flagship3_search_srp_jobs,"Set alert for similar jobs
          


                Graphic Designer, Delhi, Delhi, India
              



 




    Set alert",,,"Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Premiere Pro, After Effects, Attention to Detail, Creative Ideation, Graphic Design, Graphics, Presentations ,"
